Date,AAPL,AMZN,GOOGL,JNJ,JPM,MSFT,PG,TSLA,V,WMT
2021-01-04,126.09659576416016,159.3314971923828,85.71532440185547,136.63973999023438,110.54833221435547,209.2731475830078,122.46395111083984,243.2566680908203,210.42105102539062,45.727542877197266
2021-01-05,127.65558624267578,160.92550659179688,86.40655517578125,138.24620056152344,111.14987182617188,209.47503662109375,123.24590301513672,245.0366668701172,207.28062438964844,45.48411178588867
2021-01-06,123.3585433959961,156.91900634765625,85.55392456054688,139.5471649169922,116.36898040771484,204.04351806640625,124.54322052001953,251.9933319091797,205.45428466796875,45.76811981201172
2021-01-07,127.56790924072266,158.10800170898438,88.10929870605469,140.01861572265625,120.19046783447266,209.84996032714844,123.3791732788086,272.0133361816406,206.6041717529297,45.76498031616211
2021-01-08,128.6689910888672,159.13499450683594,89.27576446533203,139.7305145263672,120.32315826416016,211.12855529785156,123.32585144042969,293.3399963378906,208.1889190673828,45.758750915527344
2021-01-11,125.67758178710938,155.7104949951172,87.21298217773438,139.14552307128906,122.118896484375,209.08091735839844,122.4906005859375,270.39666748046875,205.71522521972656,45.9647102355957
2021-01-12,125.50222778320312,156.04150390625,86.27644348144531,138.06288146972656,124.03848266601562,206.61985778808594,121.77973937988281,283.14666748046875,201.82101440429688,46.488990783691406
2021-01-13,127.5387191772461,158.29449462890625,86.76408386230469,137.85333251953125,124.15348815917969,207.975341796875,121.96635437011719,284.8033447265625,202.2945098876953,46.0146484375
2021-01-14,125.609375,156.37350463867188,85.95317077636719,140.26307678222656,124.87882995605469,204.78370666503906,120.66900634765625,281.6666564941406,195.05691528320312,45.864845275878906
2021-01-15,123.88468933105469,155.21249389648438,85.78929901123047,139.95751953125,122.64080047607422,204.42807006835938,119.76266479492188,275.38665771484375,194.7960205078125,45.137725830078125
2021-01-19,124.55704498291016,156.03799438476562,88.6123275756836,142.12278747558594,122.11002349853516,208.07150268554688,118.71414947509766,281.51666259765625,194.86366271972656,44.74763870239258
2021-01-20,128.64950561523438,163.16900634765625,93.35958862304688,141.7735595703125,120.27891540527344,215.6660614013672,117.23020935058594,283.48333740234375,199.0670928955078,45.40922927856445
